Environment,Find,Replace
,intel.sharepoint.com/sites/IT-PTR-DARCNinjas,intel.sharepoint.com/sites/ecadevelopmentportal
DEV,ECA-Portal-Requests-Dev,ECA-Portal-Projects-Dev
DEV,ECAPortalRequestsDev,ECAPortalProjectsDev
DEV,ECA-Portal-Requests,ECA-Portal-Requests-Dev
DEV,ECA-Portal-App-Security,ECA-Portal-App-Security-Dev
DEV,ECA-Portal-Data-Sources,ECA-Portal-Data-Sources-Dev
DEV,ECA-Portal-Document,ECA-Portal-Document-Dev
DEV,ECA-Portal-Phase,ECA-Portal-Phase-Dev
DEV,ECA-Portal-Resource,ECA-Portal-Resource-Dev
DEV,ECA-Portal-Security,ECA-Portal-Security-Dev
DEV,fb67a1b3-0737-4e7e-a989-919d933b8277,55c67091-0979-4014-a429-c64ab382ba17
DEV,1e88e274-e406-464e-9b39-51eab48bc291,a46df169-1f49-4e29-a7f9-3742519ff470
DEV,c6c597ff-1671-48d4-b61c-98420fa58027,802a2345-8d3f-4f55-847d-e248f2d78696
DEV,3f9e84ad-81e3-41b9-bac9-eea33c1f76db,8f47afde-e5a7-4f0f-af4c-7254f0fc755f
DEV,57a4140a-ed2c-49de-9812-1d2165b5077b,facd7dee-7f4a-4c45-ac6f-4d311710e706
DEV,9994c179-5191-4104-8376-a2f6e16235eb,5efc9281-e257-4895-a435-a346abcaf0d0
DEV,28fe7b0b-5006-4a07-88c3-0c0276450c49,0ae7a449-79b6-426d-8a28-8a4112a2226d
,dc17bcfd-025a-4ad5-8078-968e225bffe4,c511be73-cbcb-45cb-aed0-70d18c93278d
,9f22eb23-e7cb-4a26-ae8f-83c2faf3731f,55f58a2e-390d-4785-b312-69692f59c901
,3f8eceac-390b-4924-a86e-95ac9ea91242,be305acb-253e-43d5-add0-657036586356
DEV,8720d4b0-52c8-45a2-b57a-7158a98a35d6,64fa99a2-5db3-4993-8a90-259e3d34e42c
